left_id,right_id,is_match,notes
0,0,1,accent: José García = Jose Garcia
1,1,1,accent: Maria Nuñez = Maria Nunez
2,2,1,accent: Sofía Müller = Sofia Muller
3,3,1,typo: Alejandro López = Alejandro Lopes
4,4,1,hyphen: Jean-Luc Dubois = Jean Luc Dubois
5,5,1,accent_apostrophe: Renée O'Connor = Renee O Connor
6,6,1,typo: Siobhan Smith = Siobhan Smyth
7,7,1,accent: Chloe Pérez = Chloe Perez
8,8,0,nickname: Robert Johnson != Bob Johnson
9,9,0,different: Emily Williams != Emma Williams
10,10,0,abbrev: Massachusetts Institute of Technology != MIT
11,11,0,abbrev: University of California Berkeley != UC Berkeley
12,12,0,abbrev: Harvard University != Harvard
13,13,0,abbrev: Stanford University != Stanford
14,14,1,reorder: University of Oxford = Oxford University
15,15,0,abbrev: Cambridge University != Cambridge
16,16,1,accent: ETH Zürich = ETH Zurich
17,17,1,accent: École Polytechnique = Ecole Polytechnique
18,18,0,abbrev: Technische Universität München != TU Munchen
19,19,0,abbrev: Universidad de Buenos Aires != UBA
20,20,0,abbrev: New York City != NYC
21,21,0,abbrev: Los Angeles != LA
22,22,0,abbrev: San Francisco != SF
23,23,1,accent: São Paulo = Sao Paulo
24,24,0,abbrev: Rio de Janeiro != Rio
25,25,1,accent: München = Munich
26,26,1,accent: Zürich = Zurich
27,27,1,translation: Köln = Cologne
28,28,1,accent: Düsseldorf = Dusseldorf
29,29,1,accent: Malmö = Malmo
30,30,1,accent: François Hollande = Francois Hollande
31,31,0,abbrev: Angela Merkel != A. Merkel
32,32,0,abbrev: Emmanuel Macron != E. Macron
33,33,1,accent: Björk Guðmundsdóttir = Bjork Gudmundsdottir
34,34,1,accent: Sigur Rós = Sigur Ros
35,35,1,accent: Café de Flore = Cafe de Flore
36,36,1,accent_hyphen: Häagen-Dazs = Haagen Dazs
37,37,1,accent: Citroën = Citroen
38,38,1,accent: Škoda Auto = Skoda Auto
39,39,1,accent: Nestlé = Nestle
40,40,0,abbrev: William Shakespeare != W. Shakespeare
41,41,1,case: Leonardo da Vinci = Leonardo Da Vinci
42,42,0,abbrev: Vincent van Gogh != V. van Gogh
43,43,0,abbrev: Pablo Picasso != P. Picasso
44,44,0,abbrev: Frida Kahlo != F. Kahlo
45,45,0,abbrev: Johann Sebastian Bach != J.S. Bach
46,46,0,abbrev: Wolfgang Amadeus Mozart != W.A. Mozart
47,47,0,abbrev: Ludwig van Beethoven != L. van Beethoven
48,48,0,abbrev: Pyotr Ilyich Tchaikovsky != P.I. Tchaikovsky
49,49,1,accent: Antonín Dvořák = Antonin Dvorak
50,50,0,abbrev: Microsoft Corporation != Microsoft Corp
51,51,0,abbrev: Apple Inc. != Apple
52,52,0,abbrev: Google LLC != Google
53,53,0,abbrev: Amazon.com Inc. != Amazon
54,54,0,abbrev: Meta Platforms Inc. != Meta
55,55,0,abbrev: International Business Machines != IBM
56,56,0,abbrev: Hewlett-Packard Company != HP
57,57,0,abbrev: Dell Technologies != Dell
58,58,0,abbrev: Intel Corporation != Intel
59,59,0,abbrev: Advanced Micro Devices != AMD
60,60,1,abbrev_expand: St. Petersburg = Saint Petersburg
61,61,1,abbrev_expand: Mt. Everest = Mount Everest
62,62,1,title: Dr. Martin Luther King Jr. = Martin Luther King Jr
63,63,1,title: Prof. Albert Einstein = Albert Einstein
64,64,0,nickname: Mr. William Gates III != Bill Gates
65,65,1,title: Mrs. Hillary Clinton = Hillary Clinton
66,66,1,abbrev_expand: Jr. John Smith = John Smith Junior
67,67,1,abbrev_expand: Sr. Carlos Rodriguez = Carlos Rodriguez Senior
68,68,1,reorder: Ph.D. Jane Doe = Jane Doe PhD
69,69,1,reorder: M.D. John Watson = John Watson MD
70,70,0,abbrev: North Carolina != NC
71,71,0,abbrev: South Dakota != SD
72,72,0,abbrev: New Hampshire != NH
73,73,0,abbrev: West Virginia != WV
74,74,0,abbrev: New Zealand != NZ
75,75,0,abbrev: South Africa != SA
76,76,0,abbrev: United Kingdom != UK
77,77,0,abbrev: United States of America != USA
78,78,0,abbrev: People's Republic of China != China
79,79,0,abbrev: Democratic Republic of Congo != DRC
80,80,1,hyphen: Jean-Pierre Sartre = Jean Pierre Sartre
81,81,1,hyphen: Marie-Antoinette = Marie Antoinette
82,82,1,hyphen: Anne-Sophie Mutter = Anne Sophie Mutter
83,83,1,hyphen: Jean-Claude Van Damme = Jean Claude Van Damme
84,84,1,hyphen: Mary-Kate Olsen = Mary Kate Olsen
85,85,1,hyphen: Obi-Wan Kenobi = Obi Wan Kenobi
86,86,1,hyphen: Spider-Man = Spiderman
87,87,1,hyphen: X-Men = X Men
88,88,0,number_word: Thirty-One != 31
89,89,0,number_word: Twenty-First Century = 21st Century
90,90,0,abbrev: McDonald's Corporation != McDonalds
91,91,1,apostrophe: Dunkin' Donuts = Dunkin Donuts
92,92,1,ampersand: Ben & Jerry's = Ben and Jerrys
93,93,1,ampersand: Johnson & Johnson = Johnson and Johnson
94,94,1,ampersand: Procter & Gamble = Procter and Gamble
95,95,0,abbrev: AT&T Inc. != ATT
96,96,0,abbrev: H&M != HM
97,97,1,ampersand: Dolce & Gabbana = Dolce and Gabbana
98,98,1,ampersand: Marks & Spencer = Marks and Spencer
99,99,1,ampersand: Barnes & Noble = Barnes and Noble
100,100,1,transliteration: Москва = Moscow
101,101,1,transliteration: 北京 = Beijing
102,102,1,transliteration: 東京 = Tokyo
103,103,1,transliteration: 서울 = Seoul
104,104,1,transliteration: Αθήνα = Athens
105,105,1,transliteration: القاهرة = Cairo
106,106,1,transliteration: תל אביב = Tel Aviv
107,107,1,transliteration: दिल्ली = Delhi
108,108,1,transliteration: กรุงเทพมหานคร = Bangkok
109,109,1,accent: Việt Nam = Vietnam
110,110,1,apostrophe: O'Reilly Media = OReilly Media
111,111,1,apostrophe: D'Arcy McGee = DArcy McGee
112,112,1,apostrophe_accent: L'Oréal = LOreal
113,113,1,apostrophe_accent: M'Bappé = Mbappe
114,114,1,apostrophe_accent: N'Golo Kanté = NGolo Kante
115,115,1,apostrophe: O'Brien = OBrien
116,116,1,apostrophe: McDonald's = McDonalds
117,117,1,apostrophe: Dunkin' = Dunkin
118,118,1,apostrophe: Macy's = Macys
119,119,1,apostrophe: Lowe's = Lowes
120,120,1,tilde: Ñoño = Nono
121,121,1,tilde: Año Nuevo = Ano Nuevo
122,122,1,tilde: España = Espana
123,123,1,tilde: Cañon = Canon
124,124,1,tilde: Jalapeño = Jalapeno
125,125,1,tilde: Piñata = Pinata
126,126,1,tilde: El Niño = El Nino
127,127,1,tilde: Señor = Senor
128,128,1,tilde: Mañana = Manana
129,129,1,tilde: Niña = Nina
130,130,1,diaeresis: naïve = naive
131,131,1,accent: café = cafe
132,132,1,accent: résumé = resume
133,133,1,accent: fiancée = fiancee
134,134,1,accent: cliché = cliche
135,135,1,accent: déjà vu = deja vu
136,136,1,accent: à la carte = a la carte
137,137,1,accent_hyphen: vis-à-vis = vis a vis
138,138,1,accent_hyphen: tête-à-tête = tete a tete
139,139,1,accent: crème brûlée = creme brulee
140,140,0,abbrev: Beyoncé Knowles != Beyonce
141,141,1,diaeresis: Zoë Kravitz = Zoe Kravitz
142,142,1,diaeresis: Chloë Sevigny = Chloe Sevigny
143,143,1,diaeresis: Noël Gallagher = Noel Gallagher
144,144,1,accent: Renée Zellweger = Renee Zellweger
145,145,1,accent: Penélope Cruz = Penelope Cruz
146,146,1,umlaut: Möbius Strip = Mobius Strip
147,147,1,umlaut_apostrophe: Gödel's Theorem = Godels Theorem
148,148,1,umlaut_apostrophe: Schrödinger's Cat = Schrodingers Cat
